"","Year","Ceremony","Category","Nominee","Additional.Info","Won.Academy.Award","Film","Artist","Film.ID"
"1","2010","2010 (83rd)","Actor -- Leading Role","Javier Bardem","Biutiful {'Uxbal'}","NO","Biutiful","Javier Bardem","Biutiful (2010)"
"2","2010","2010 (83rd)","Actor -- Leading Role","Jeff Bridges","True Grit {'Rooster Cogburn'}","NO","True Grit","Jeff Bridges","True Grit (2010)"
"3","2010","2010 (83rd)","Actor -- Leading Role","Jesse Eisenberg","The Social Network {'Mark Zuckerberg'}","NO","The Social Network","Jesse Eisenberg","The Social Network (2010)"
"4","2010","2010 (83rd)","Actor -- Leading Role","Colin Firth","The King's Speech {'King George VI'}","YES","The King's Speech","Colin Firth","The King's Speech (2010)"
"5","2010","2010 (83rd)","Actor -- Leading Role","James Franco","127 Hours {'Aron Ralston'}","NO","127 Hours","James Franco","127 Hours (2010)"
"6","2010","2010 (83rd)","Actor -- Supporting Role","Christian Bale","The Fighter {'Dicky Eklund'}","YES","The Fighter","Christian Bale","The Fighter (2010)"
"7","2010","2010 (83rd)","Actor -- Supporting Role","John Hawkes","Winter's Bone {'Teardrop'}","NO","Winter's Bone","John Hawkes","Winter's Bone (2010)"
"8","2010","2010 (83rd)","Actor -- Supporting Role","Jeremy Renner","The Town {'James Coughlin'}","NO","The Town","Jeremy Renner","The Town (2010)"
"9","2010","2010 (83rd)","Actor -- Supporting Role","Mark Ruffalo","The Kids Are All Right {'Paul'}","NO","The Kids Are All Right","Mark Ruffalo","The Kids Are All Right (2010)"
"10","2010","2010 (83rd)","Actor -- Supporting Role","Geoffrey Rush","The King's Speech {'Lionel Logue'}","NO","The King's Speech","Geoffrey Rush","The King's Speech (2010)"
"11","2010","2010 (83rd)","Actress -- Leading Role","Annette Bening","The Kids Are All Right {'Nic'}","NO","The Kids Are All Right","Annette Bening","The Kids Are All Right (2010)"
"12","2010","2010 (83rd)","Actress -- Leading Role","Nicole Kidman","Rabbit Hole {'Becca'}","NO","Rabbit Hole","Nicole Kidman","Rabbit Hole (2010)"
"13","2010","2010 (83rd)","Actress -- Leading Role","Jennifer Lawrence","Winter's Bone {'Ree'}","NO","Winter's Bone","Jennifer Lawrence","Winter's Bone (2010)"
"14","2010","2010 (83rd)","Actress -- Leading Role","Natalie Portman","Black Swan {'Nina Sayers/The Swan Queen'}","YES","Black Swan","Natalie Portman","Black Swan (2010)"
"15","2010","2010 (83rd)","Actress -- Leading Role","Michelle Williams","Blue Valentine {'Cindy'}","NO","Blue Valentine","Michelle Williams","Blue Valentine (2010)"
"16","2010","2010 (83rd)","Actress -- Supporting Role","Amy Adams","The Fighter {'Charlene Fleming'}","NO","The Fighter","Amy Adams","The Fighter (2010)"
"17","2010","2010 (83rd)","Actress -- Supporting Role","Helena Bonham Carter","The King's Speech {'Queen Elizabeth'}","NO","The King's Speech","Helena Bonham Carter","The King's Speech (2010)"
"18","2010","2010 (83rd)","Actress -- Supporting Role","Melissa Leo","The Fighter {'Alice Ward'}","YES","The Fighter","Melissa Leo","The Fighter (2010)"
"19","2010","2010 (83rd)","Actress -- Supporting Role","Hailee Steinfeld","True Grit {'Mattie Ross'}","NO","True Grit","Hailee Steinfeld","True Grit (2010)"
