"","X","Year","Ceremony","Category","Nominee","Additional.Info","Won.Academy.Award","Film","Artist","Film.ID"
"4",4,2010,"2010 (83rd)","Actor -- Leading Role","Colin Firth","The King's Speech {'King George VI'}","YES","The King's Speech","Colin Firth","The King's Speech (2010)"
"6",6,2010,"2010 (83rd)","Actor -- Supporting Role","Christian Bale","The Fighter {'Dicky Eklund'}","YES","The Fighter","Christian Bale","The Fighter (2010)"
"14",14,2010,"2010 (83rd)","Actress -- Leading Role","Natalie Portman","Black Swan {'Nina Sayers/The Swan Queen'}","YES","Black Swan","Natalie Portman","Black Swan (2010)"
"18",18,2010,"2010 (83rd)","Actress -- Supporting Role","Melissa Leo","The Fighter {'Alice Ward'}","YES","The Fighter","Melissa Leo","The Fighter (2010)"
"23",23,2010,"2010 (83rd)","Animated Feature Film","Toy Story 3","Lee Unkrich","YES","Toy Story 3","Lee Unkrich","Toy Story 3 (2010)"
"24",24,2010,"2010 (83rd)","Art Direction","Alice in Wonderland","Production Design: Robert Stromberg; Set Decoration: Karen O'Hara","YES","Alice in Wonderland","Production Design: Robert Stromberg; Set Decoration: Karen O'Hara","Alice in Wonderland (2010)"
"30",30,2010,"2010 (83rd)","Cinematography","Inception","Wally Pfister","YES","Inception","Wally Pfister","Inception (2010)"
"34",34,2010,"2010 (83rd)","Costume Design","Alice in Wonderland","Colleen Atwood","YES","Alice in Wonderland","Colleen Atwood","Alice in Wonderland (2010)"
"41",41,2010,"2010 (83rd)","Directing","The King's Speech","Tom Hooper","YES","The King's Speech","Tom Hooper","The King's Speech (2010)"
"46",46,2010,"2010 (83rd)","Documentary (Feature)","Inside Job","Charles Ferguson and Audrey Marrs","YES","Inside Job","Charles Ferguson and Audrey Marrs","Inside Job (2010)"
"51",51,2010,"2010 (83rd)","Documentary (Short Subject)","Strangers No More","Karen Goodman and Kirk Simon","YES","Strangers No More","Karen Goodman and Kirk Simon","Strangers No More (2010)"
"58",58,2010,"2010 (83rd)","Film Editing","The Social Network","Angus Wall and Kirk Baxter","YES","The Social Network","Angus Wall and Kirk Baxter","The Social Network (2010)"
"61",61,2010,"2010 (83rd)","Foreign Language Film","In a Better World","Denmark","YES","In a Better World","Denmark","In a Better World (2010)"
"66",66,2010,"2010 (83rd)","Makeup","The Wolfman","Rick Baker and Dave Elsey","YES","The Wolfman","Rick Baker and Dave Elsey","The Wolfman (2010)"
"71",71,2010,"2010 (83rd)","Music (Scoring)","The Social Network","Trent Reznor and Atticus Ross","YES","The Social Network","Trent Reznor and Atticus Ross","The Social Network (2010)"
"75",75,2010,"2010 (83rd)","Music (Song)","Toy Story 3","Music and Lyric by Randy Newman","YES","Toy Story 3","Music and Lyric by Randy Newman","Toy Story 3 (2010)"
"80",80,2010,"2010 (83rd)","Best Picture","The King's Speech","Iain Canning, Emile Sherman and Gareth Unwin, Producers","YES","The King's Speech","Iain Canning, Emile Sherman and Gareth Unwin, Producers","The King's Speech (2010)"
"89",89,2010,"2010 (83rd)","Short Film (Animated)","The Lost Thing","Shaun Tan and Andrew Ruhemann","YES","The Lost Thing","Shaun Tan and Andrew Ruhemann","The Lost Thing (2010)"
"93",93,2010,"2010 (83rd)","Short Film (Live Action)","God of Love","Luke Matheny","YES","God of Love","Luke Matheny","God of Love (2010)"
"96",96,2010,"2010 (83rd)","Sound","Inception","Lora Hirschberg, Gary A. Rizzo and Ed Novick","YES","Inception","Lora Hirschberg, Gary A. Rizzo and Ed Novick","Inception (2010)"
"101",101,2010,"2010 (83rd)","Sound Editing","Inception","Richard King","YES","Inception","Richard King","Inception (2010)"
"109",109,2010,"2010 (83rd)","Visual Effects","Inception","Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb","YES","Inception","Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb","Inception (2010)"
"112",112,2010,"2010 (83rd)","Writing","The Social Network","Screenplay by Aaron Sorkin","YES","The Social Network","Screenplay by Aaron Sorkin","The Social Network (2010)"
"120",120,2010,"2010 (83rd)","Writing","The King's Speech","Screenplay by David Seidler","YES","The King's Speech","Screenplay by David Seidler","The King's Speech (2010)"
"121",121,2010,"2010 (83rd)","Honorary Award","To Kevin Brownlow for the wise and devoted chronicling of the cinematic parade.","","YES",NA,NA,NA
"122",122,2010,"2010 (83rd)","Honorary Award","To Jean-Luc Godard for passion. For confrontation. For a new kind of cinema.","","YES",NA,NA,NA
"123",123,2010,"2010 (83rd)","Honorary Award","To Eli Wallach for a lifetime's worth of indelible screen characters.","","YES",NA,NA,NA
"124",124,2010,"2010 (83rd)","Irving G. Thalberg Memorial Award","Francis Ford Coppola","","YES",NA,NA,NA
"125",125,2010,"2010 (83rd)","Scientific and Technical (Scientific and Engineering Award)","To DR. MARK SAGAR for his early and continuing development of influential facial motion retargeting solutions. Dr. Sagar's work led to a method for transforming facial motion capture data into an expression-based, editable character animation system that has been used in motion pictures with a high volume of digital characters. [Digital Imaging Technology]","","YES",NA,NA,NA
"126",126,2010,"2010 (83rd)","Scientific and Technical (Scientific and Engineering Award)","To MARK NOEL for the design, engineering, and development, and to JOHN FRAZIER for his contributions to the design and safety features, of the NAC Servo Winch System. The NAC System allows full-size cars, aircraft and other heavy props to be flown on wires with unprecedented freedom of motion and a high degree of safety, on-set and in real time. The intuitive control system responds to the motion of the operator's hand, permitting the recording and playback of all axes of motion simultaneously, which may be edited and refined for playback in subsequent takes. [Stage Operations]","","YES",NA,NA,NA
"127",127,2010,"2010 (83rd)","Scientific and Technical (Scientific and Engineering Award)","To JAMES RODNUNSKY, ALEX MacDONALD and MARK CHAPMAN for the development of the Cablecam 3-D volumetric suspended cable camera technologies. The evolution of the Cablecam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space. [Camera Cranes]","","YES",NA,NA,NA
"128",128,2010,"2010 (83rd)","Scientific and Technical (Scientific and Engineering Award)","To TIM DRNEC, BEN BRITTEN SMITH and MATT DAVIS for the development of the Spydercam 3-D volumetric suspended cable camera technologies. The evolution of the Spydercam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space. [Camera Cranes]","","YES",NA,NA,NA
"129",129,2010,"2010 (83rd)","Scientific and Technical (Technical Achievement Award)","To GREG ERCOLANO for the design and engineering of a series of software systems culminating in the Rush render queue management system. Mr. Ercolano's work has been influential across the industry, and has enabled scalable render farms at numerous studios. [Digital Imaging Technology]","","YES",NA,NA,NA
"130",130,2010,"2010 (83rd)","Scientific and Technical (Technical Achievement Award)","To DAVID M. LAUR for the development of the Alfred render queue management system. This system was the first robust, scalable, widely adopted commercial solution for queue management in the motion picture industry. Its user interface and support for multi-machine assignment influenced the design of modern day queue management tools. [Digital Imaging Technology]","","YES",NA,NA,NA
